movie,year,imdb_ratings,metacritic,runtime,votes,genres,us_gross
Toy Story 3,2010,8.3,92,103,721615,"Animation, Adventure, Comedy",$415.00M
Indiana Jones and the Temple of Doom,1984,7.6,57,118,425099,"Action, Adventure",$179.87M
Chinatown,1974,8.2,92,130,277869,"Drama, Mystery, Thriller",$29.20M
Saw,2004,7.6,46,103,364490,"Horror, Mystery, Thriller",$56.00M
Big Hero 6,2014,7.8,74,102,390446,"Animation, Action, Adventure",$222.53M
Tombstone,1993,7.8,50,130,119612,"Action, Biography, Drama",$56.51M
True Grit,2010,7.6,80,110,295641,"Drama, Western",$171.24M
Roma,2018,7.7,96,135,125597,Drama,-
Hidden Figures,2016,7.8,74,127,184455,"Biography, Drama, History",$169.61M
As Good as It Gets,1997,7.7,67,139,263411,"Comedy, Drama, Romance",$148.48M
Amadeus,1984,8.3,88,160,351753,"Biography, Drama, History",$51.97M
The Machinist,2004,7.7,61,101,342058,"Drama, Thriller",$1.08M
Isle of Dogs,2018,7.9,82,101,124523,"Animation, Adventure, Comedy",$32.02M
Remember the Titans,2000,7.8,48,113,189853,"Biography, Drama, Sport",$115.65M
Slumdog Millionaire,2008,8.0,86,120,770192,"Drama, Romance",$141.32M
Moonrise Kingdom,2012,7.8,84,94,303323,"Comedy, Drama, Romance",$45.51M
The Bourne Identity,2002,7.9,68,119,489002,"Action, Mystery, Thriller",$121.66M
Almost Famous,2000,7.9,90,122,241967,"Adventure, Comedy, Drama",$32.53M
Sherlock Holmes,2009,7.6,57,128,563879,"Action, Adventure, Crime",$209.03M
The Pursuit of Happyness,2006,8.0,64,117,423132,"Biography, Drama",$163.57M
What's Eating Gilbert Grape,1993,7.8,73,118,204728,Drama,$9.17M
The Conversation,1974,7.8,85,113,91282,"Drama, Mystery, Thriller",$4.42M
Kill Bill: Vol. 2,2004,8.0,83,137,650020,"Action, Crime, Thriller",$66.21M
The Fault in Our Stars,2014,7.7,69,126,328018,"Drama, Romance",$124.87M
Taken,2008,7.8,51,90,550220,"Action, Thriller",$145.00M
Monty Python and the Holy Grail,1975,8.2,93,91,480322,"Adventure, Comedy, Fantasy",$1.23M
Wild Tales,2014,8.1,77,122,161735,"Comedy, Drama, Thriller",$3.11M
Rocky,1976,8.1,70,120,493325,"Drama, Sport",$117.24M
The Butterfly Effect,2004,7.6,30,113,435204,"Drama, Sci-Fi, Thriller",$57.94M
